,Variance
dms-500-6,56.735856,
ba-500-7,22.683856,
dms-500-7,49.21185600000001,
ba-500-8,23.935855999999994,
dms-500-8,68.28385599999999,
ba-500-9,25.727856000000003,
dms-500-9,57.447856,
ba-500-10,21.143856,
dms-500-10,73.515856,
ba-500-11,24.663856000000003,
dms-500-11,53.815856,
ba-500-12,23.955855999999997,
dms-500-12,64.68385599999999,
ba-500-13,28.795855999999993,
dms-500-13,71.027856,
ba-500-14,20.643856,
dms-500-14,60.795856,
ba-500-15,23.315855999999997,
dms-500-15,70.00785599999999,
ba-500-16,29.991856000000006,
dms-500-16,57.675855999999996,
ba-500-17,20.899856,
dms-500-17,71.999856,
ba-500-18,20.903855999999998,
dms-500-18,59.343856,
ba-500-19,19.507855999999997,
dms-500-19,52.77585599999999,
ba-500-20,25.479855999999998,
dms-500-20,54.83585600000001,
ba-500-21,27.463856,
dms-500-21,53.031856000000005,
ba-500-22,24.77585599999999,
dms-500-22,64.019856,
ba-500-23,21.211855999999997,
dms-500-23,56.295856,
ba-500-24,25.259855999999992,
dms-500-24,53.43985599999999,
ba-500-25,23.703856000000002,
dms-500-25,52.943856,
ba-500-26,22.647855999999997,
dms-500-26,53.415856000000005,
ba-500-27,24.535855999999995,
dms-500-27,54.203856,
ba-500-28,26.427856000000006,
dms-500-28,58.763856000000004,
ba-500-29,25.00785599999999,
dms-500-29,62.84785599999999,
ba-500-30,25.803855999999996,
dms-500-30,52.375856,
ba-500-31,22.935855999999994,
dms-500-31,52.143856,
ba-500-32,21.715855999999995,
dms-500-32,57.035855999999995,
ba-500-33,27.651856000000002,
dms-500-33,61.83585600000001,
ba-500-34,23.903855999999998,
dms-500-34,62.763856000000004,
ba-500-35,19.547855999999996,
dms-500-35,61.007856000000004,
ba-500-36,24.255856,
dms-500-36,58.139855999999995,
ba-500-37,24.079855999999992,
dms-500-37,54.955856,
ba-500-38,28.183856,
dms-500-38,50.33585600000001,
ba-500-39,22.871856,
dms-500-39,51.96385599999999,
ba-600-0,23.60656666666667,
dms-600-0,63.45323333333333,
ba-600-1,21.866566666666667,
dms-600-1,65.67656666666667,
ba-600-2,21.546566666666667,
dms-600-2,61.36989999999999,
ba-600-3,21.103233333333332,
dms-600-3,56.52990000000001,
ba-600-4,19.71656666666667,
dms-600-4,60.02656666666667,
ba-600-5,24.236566666666665,
dms-600-5,60.03656666666667,
ba-600-6,27.683233333333337,
dms-600-6,52.42323333333334,
ba-600-7,21.286566666666662,
dms-600-7,61.6499,
ba-600-8,23.303233333333342,
dms-600-8,77.8999,
ba-600-9,22.376566666666665,
dms-600-9,68.6399,
ba-600-10,24.236566666666665,
dms-600-10,60.04323333333333,
ba-600-11,29.993233333333325,
dms-600-11,57.78989999999999,
ba-600-12,20.169900000000002,
dms-600-12,58.31323333333334,
ba-600-13,20.919900000000002,
dms-600-13,67.8199,
ba-600-14,23.846566666666664,
dms-600-14,63.1499,
ba-600-15,29.023233333333334,
dms-600-15,57.686566666666664,
ba-600-16,28.186566666666668,
dms-600-16,55.18990000000001,
ba-600-17,23.549899999999997,
dms-600-17,47.093233333333345,
ba-600-18,28.813233333333333,
dms-600-18,66.69656666666667,
ba-600-19,26.199899999999996,
dms-600-19,58.7799,
ba-600-20,22.34656666666667,
dms-600-20,70.63323333333334,
ba-600-21,22.8499,
dms-600-21,68.28323333333333,
ba-600-22,25.233233333333335,
dms-600-22,53.00323333333334,
ba-600-23,33.129900000000006,
dms-600-23,65.01323333333333,
ba-600-24,26.7199,
dms-600-24,54.1799,
ba-600-25,24.2799,
dms-600-25,74.98323333333333,
ba-600-26,24.243233333333333,
dms-600-26,68.09656666666667,
ba-600-27,23.173233333333332,
dms-600-27,58.183233333333334,
ba-600-28,35.20323333333333,
dms-600-28,54.57990000000001,
ba-600-29,29.836566666666666,
dms-600-29,55.596566666666675,
ba-600-30,20.883233333333333,
dms-600-30,57.25656666666667,
ba-600-31,34.90989999999999,
dms-600-31,50.1499,
ba-600-32,30.166566666666665,
dms-600-32,67.9999,
ba-600-33,22.386566666666663,
dms-600-33,57.09323333333333,
ba-600-34,27.50323333333333,
dms-600-34,59.4799,
ba-600-35,28.346566666666664,
dms-600-35,58.62656666666666,
ba-600-36,25.82323333333333,
dms-600-36,60.87989999999999,
ba-600-37,32.349900000000005,
dms-600-37,71.90656666666668,
ba-600-38,28.24656666666667,
dms-600-38,52.05323333333334,
ba-600-39,22.633233333333333,
dms-600-39,52.343233333333345,
ba-700-0,20.657069387755108,
dms-700-0,62.60278367346939,
ba-700-1,23.599926530612244,
dms-700-1,62.079926530612255,
ba-700-2,23.48564081632653,
dms-700-2,66.52278367346938,
ba-700-3,28.2970693877551,
dms-700-3,64.2970693877551,
ba-700-4,24.98278367346939,
dms-700-4,65.36564081632653,
ba-700-5,20.30849795918367,
dms-700-5,58.79135510204081,
